feature,description,cta_id,label,url,works_on,notes,display_name,aliases,why_it_matters,related_features,plans
card_on_file,Securely stores a customer's payment card in HCP so the Pro can charge it (e.g. at job completion or on an invoice due date) without the customer re-entering card details each time. Requires the customer to have consented to store a card; does not itself extend financing or payment plans (see wisetack).,,My Money (pro-prefix),https://pro.housecallpro.com/pro/my_money,ios,"Card-on-file/Plaid linking is reached from within this screen, not a direct link.",Card on file,feature_card_on_file_state,Stored cards let the Pro charge at job completion or invoice due date without chasing the customer for payment.,payment_processing;service_agreements,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
card_on_file,,,Plaid OAuth,https://pro.housecallpro.com/app/my_money/ios_plaid_oauth,ios,"Flagged uncertain by source QA - re-verify. iOS-only path, no known Android equivalent.",,,,,
time_tracking,"Employee clock-in/clock-out and on-job and travel hours recorded against each job, reported by employee for payroll hours and labor-cost visibility. This tracks the Pro's own employees on jobs, not the customer, and is unrelated to appointment or booking scheduling.",cta_employees,Team settings,https://pro.housecallpro.com/app/settings/employees,ios,"General team/employee page; time tracking is one part of it, not a dedicated screen.",Time tracking,time_tracking_by_tech;employee_time_tracking;payroll_time_tracking;feature_time_tracking_state,On-job and travel hours per employee show labor time per job and team productivity.,scheduling_dispatching;reporting_analytics,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
time_tracking,,,Team settings (pro-prefix),https://pro.housecallpro.com/pro/account/employees,ios,"Same destination, alternate prefix.",,,,,
flat_rate_pricing,"Lets a Pro build consistent, cost-based service prices by combining labor rates, material costs, and margin into one fixed price the technician quotes on site. Distinct from the Price Book, which is the catalog of services and materials those prices live in, and not a discount or financing feature.",,Price List,https://pro.housecallpro.com/pro/account/price_list,ios,Mobile deep link; not yet in the approved CTA library.,Flat rate pricing,feature_flat_rate_pricing_state,Predefined labor rates and material markups keep every quote profitable and margins consistent across services.,sales_proposal;inventory_materials,Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
flat_rate_pricing,,,Price book,https://pro.housecallpro.com/app/price_book,web,"Titled ""Price book,"" tabs: Services / Materials / Pricing forms / Estimate Templates / Discounts, organized by industry.",,,,,
premium_reviews,"After a job is finished or paid, automatically sends the customer a request by text or email to leave a review, and lets the Pro control which platform (Google, Facebook, or their website) requests route to and reply to reviews from inside HCP. Only affects post-job review collection and replies; it does not create marketing campaigns.",cta_reviews_marketing,Review requests,https://pro.housecallpro.com/app/marketing/reviews,web,"Untested. The ASK-for-reviews tool, not the received-reviews list below.",Reviews,reviews;review_requests;receive_an_external_review;feature_premium_reviews_state,"Automatic review requests after each job grow the Pro's Google and Facebook presence, and replies happen from inside HCP.",marketing_campaigns;automated_reminders,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
premium_reviews,,cta_reviews,Your reviews,https://pro.housecallpro.com/app/reviews,web,Untested. Read-only view of reviews already received.,,,,,
wisetack,"Point-of-sale consumer financing: lets a customer split a large invoice into monthly payments through a third-party lender (Wisetack), approved or declined based on the customer's own credit check. This is financing offered to the customer, not a discount from the Pro and not the same as storing a card on file.",cta_custom_my_money_consumer_financing,My Money - Consumer financing,https://pro.housecallpro.com/app/my_money/consumer_financing,web,"Offers TWO providers: Wisetack (funds to Pro, fee to Pro) and MoneyLion (funds to customer, no fee to Pro). Don't assume Wisetack-only in copy.",Consumer Financing,consumer_financing,Customers finance larger jobs directly from the estimate or invoice while the Pro is paid in full quickly.,payment_processing;sales_proposal,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
scheduling_dispatching,"The core calendar/board where office staff assign jobs to technicians, see technician availability, and reschedule or dispatch in real time. This is the internal staff-facing scheduling tool, distinct from the customer-facing online_booking request flow.",cta_job_new,Create a job,https://pro.housecallpro.com/app/jobs/new,ios,,Scheduling,scheduling;dispatching;scheduling.manage;scheduling.maps,"One calendar with map views, drag-and-drop, and routing tools keeps the team's day organized and routes efficient.",mobile_field_app;automated_reminders,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
scheduling_dispatching,,,Create a job (alt path),https://pro.housecallpro.com/app/new_job,ios,Same screen as cta_job_new.,,,,,
scheduling_dispatching,,,Calendar,https://pro.housecallpro.com/pro/calendar,ios,"Only /pro/calendar works - /app/calendar errors, /app/calendar_new lands on the wrong screen. Don't use either.",,,,,
scheduling_dispatching,,cta_jobs,Your jobs (list),https://pro.housecallpro.com/app/jobs,web,"Untested. Per-job detail wildcards (/app/jobs/{id}, /pro/jobs/{id}) both failed in QA - avoid linking a specific job.",,,,,
invoicing,"Generates and sends the bill for a completed job, itemizing labor/materials and tracking paid/unpaid/overdue status. This is the post-job bill; it is not the pre-job sales_proposal estimate, and does not itself process the payment (see card_on_file / payment processing).",cta_invoice_create_mobile,Create an invoice (app link),https://housecallpro.app.link/type-1-create-invoice,mobile,"app.link deferred deep link - opens native create-invoice screen if installed, graceful web fallback otherwise. Preferred CTA for SMS invoicing touches.",Invoices,invoices;invoices_lite,,payment_processing;card_on_file,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
invoicing,,cta_invoice_list,Your invoices,https://pro.housecallpro.com/app/customers/invoices/list,web,"Titled ""Invoices,"" tabs All/Unsent/Due/Past Due. App auto-fills a default status filter if none given.",,,,,
invoicing,,cta_invoice_setup,Set up invoicing,https://pro.housecallpro.com/app/customers/invoices/setup,web,Untested.,,,,,
invoicing,,cta_invoice_defaults,Invoice settings,https://pro.housecallpro.com/app/settings/default_invoice_settings/configuration,web,Untested.,,,,,
payment_processing,"In-app credit card, ACH, and mobile card-reader payment collection so a Pro gets paid at time of service or online from an invoice link, without a separate payment terminal. Distinct from card_on_file (which only stores a card) and from wisetack (third-party financing); this is direct one-time payment capture.",cta_payment_settings,Payment settings,https://pro.housecallpro.com/app/settings/payments,broken,"DO NOT USE - redirects to Company profile settings, not payments. Real destination: https://pro.housecallpro.com/app/my_money (Payouts tab). Also broken: /app/my_money/expense_cards/funding and /cards (wrong destination).",Online Payments,online_payments;connect_bank_account,,card_on_file;invoicing,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
instapay,"Lets a Pro access payment funds the same day / near-instantly for a fee, instead of waiting for the standard payout deposit schedule. Only affects payout speed on payments already processed through HCP; does not change how much the customer is charged.",,My Money,https://pro.housecallpro.com/app/my_money,ios,"Covers balance, payouts, Instapay broadly. No Instapay-only link exists.",Instapay,,,payment_processing,
marketing_campaigns,"Automated or one-off email/SMS marketing sent to a Pro's customer list (e.g. seasonal promotions, win-back campaigns) built and scheduled inside HCP. This is bulk outbound marketing to the Pro's customer base, separate from one-to-one two-way texting about a specific job.",cta_marketing_campaigns,Marketing campaigns,https://pro.housecallpro.com/app/marketing/campaigns,web,"Titled ""Campaigns"" - table of the Pro's own campaigns with a ""Create a campaign"" button.",Campaigns,campaigns;campaigns.included;sms_campaigns;postcards;create_automated_campaign,"One-time or automated email and postcard campaigns re-engage past customers and drive repeat bookings, included in every core plan.",premium_reviews;two_way_texting,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
two_way_texting,"Lets office staff and customers text back and forth about a specific job or appointment directly through HCP, with the conversation logged on the customer's record. This is one-to-one conversational texting, distinct from bulk marketing_campaigns and from the automatic missed-call text under voip.",,Chat,housecallpro://pro/chat,ios,"Custom-scheme deep link, opens native chat. The universal-link form (https://pro.housecallpro.com/pro/chat) is broken - use this scheme instead.",SMS Text messaging,sms_number;inbox;register_for_sms_texts,"A dedicated business texting number carries all automated and direct texts, with replies landing in the Customer Inbox.",automated_reminders;marketing_campaigns,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
two_way_texting,,,Chat message,housecallpro://pro/message,ios,Custom-scheme deep link to a message thread. Universal-link form is broken.,,,,,
two_way_texting,,cta_custom_inbox_text_messaging,Inbox settings,https://pro.housecallpro.com/app/settings/text_messages,web,"Settings page, not the conversation itself. Prefer the chat deep link above to land in a conversation.",,,,,
customer_portal,"A self-serve web page where a customer can view past and upcoming appointments, approve estimates, pay invoices, manage saved payment methods, and message the Pro without calling the office. It is the existing customer's account view; booking from the portal is available only when the Pro enables it.",,,,no_cta,No CTA in any source. Fall back to generic_fallback.,Customer Portal,customers.portal;enable_customer_portal,"Customers view appointments, approve estimates, and pay invoices themselves through a branded portal, cutting admin work for the office.",online_booking;payment_processing,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
leads_pipeline,"A CRM-style pipeline view for tracking sales leads from first contact through won/lost, used by sales-focused Pros managing higher-ticket jobs. This is the pre-sale opportunity tracker, distinct from sales_proposal (the estimate document itself) and from scheduling_dispatching (post-sale job execution).",cta_pipeline,Pipeline,https://pro.housecallpro.com/app/pipeline,web,Untested. Detail wildcard (/app/pipeline/{id}) failed in QA - avoid linking a specific item.,Pipeline,sales_management;estimates_kaban_board;jobs.inbox,"Leads, estimates, and jobs move through visual stages with automated follow-ups, so nothing stalls between first contact and booked work.",sales_proposal;online_booking,Add-on
leads_pipeline,,cta_pipeline_leads,Your leads,https://pro.housecallpro.com/app/pipeline/leads,web,Untested.,,,,,
leads_pipeline,,cta_pipeline_estimates,Estimates in pipeline,https://pro.housecallpro.com/app/pipeline/estimates,web,Untested.,,,,,
recurring_jobs,"Automatically creates and schedules repeat jobs on a set cadence (e.g. every 4 weeks) for a customer without staff manually re-booking each time. Overlaps with service_agreements when the recurring jobs are tied to a paid membership plan, but can also apply to recurring work with no formal agreement attached.",,,,no_cta,Overlaps service_agreements (paid plan) or cta_job_new (one-off repeat).,Recurring jobs,jobs.recurring,Repeat work is created and scheduled on a set cadence without staff re-booking each visit.,service_agreements;scheduling_dispatching,
inventory_materials,"Adds source, vendor, and part-number fields to material line items on jobs and estimates, and links them to the Price Book's materials list, so a Pro can record and bill what was used. This is material tracking on the job, not a warehouse inventory system and not job-costing profitability reporting.",,Price book - Materials tab,https://pro.housecallpro.com/app/price_book,web,Same page as flat_rate_pricing; no way to deep-link the Materials tab specifically.,Material tracking,jobs.material_tracking;price_book.materials,"Source, vendor, and part number are recorded on each material line item for accurate material billing.",flat_rate_pricing,
reporting_analytics,"Dashboards and reports on business performance (revenue, job counts, technician productivity, marketing results) built from a Pro's HCP data. This is an internal, staff-facing insight tool; it has no customer-facing component and sends nothing to customers on its own.",,,,no_cta,Confirmed no dedicated CTA. Fall back to generic_fallback.,Reporting,reporting;advanced_reporting;tags_report,"Customizable dashboards show key performance metrics, with presentation mode to share live results with the team.",time_tracking,Core SaaS Basic;Core SaaS Essentials;Core SaaS MAX;Core SaaS MAX+
mobile_field_app,"The technician-facing mobile app used in the field to view job details, navigate to the site, capture photos/signatures, and update job status. This is the field crew's app, distinct from online_booking (customer-facing) and the customer_portal (customer self-serve web view).",,,,not_applicable,This feature IS the mobile app - no CTA destination.,Housecall Pro mobile app,native_mobile_app,"Jobs, schedules, estimates, and the price book are managed from iOS or Android, with offline access to recent jobs when cell service drops.",scheduling_dispatching;time_tracking,
automated_reminders,Sends automatic appointment reminder texts/emails to a customer ahead of a scheduled job to reduce no-shows and late cancellations. This is a pre-appointment reminder only; it is not the missed-call text-back under voip and not a marketing_campaigns promotional message.,cta_payment_reminders,Payment reminders,https://pro.housecallpro.com/app/settings/payments/reminders,web,Untested. Distinct from cta_custom_automatic_payment_reminders below - don't conflate.,Job reminders,appointment_reminders;customer_notifications,Automated text reminders ahead of each job reduce no-shows and late cancellations.,two_way_texting;scheduling_dispatching,
automated_reminders,,cta_custom_automatic_payment_reminders,Automatic payment reminders,https://pro.housecallpro.com/app/settings/customer_notification_messages,web,Untested.,,,,,
